num_jobs 100000000 num_servers 2 seed 0 dist Hyperexp(1.0, 1.0, 1.0)							
rho	SRPT	SRPTExcept(0.5, 0.5)	SRPTExcept(1.0, 1.0)	SRPTExcept(1.5, 1.5)	SRPTExcept(2.0, 2.0)	SRPTExcept(3.0, 3.0)	SRPTExcept(4.0, 4.0)
0.88	4.114878752	4.108417485	4.111116754	4.132497499	4.15441478	4.167730667	4.153227047
0.9	4.500183424	4.492766776	4.492388031	4.511944305	4.53454064	4.553260032	4.542178528
0.903	4.569523418	4.561952159	4.56101756	4.580187751	4.602857753	4.622410153	4.611995131
0.906	4.64254576	4.63482754	4.633377466	4.652166815	4.674915445	4.695309703	4.685556156
0.91	4.746490248	4.738562175	4.736345213	4.75454138	4.77721858	4.798763389	4.790009193
0.913	4.829736967	4.82166221	4.81893063	4.836743803	4.859491795	4.881700568	4.873738741
0.916	4.917880865	4.909675458	4.906375667	4.923664062	4.946414233	4.969519085	4.962334567
0.92	5.044530891	5.036073002	5.032036555	5.048598131	5.071248441	5.095370526	5.08943128
0.923	5.146838367	5.138265683	5.133521618	5.149646857	5.172124	5.197136805	5.192057003
0.926	5.256059153	5.247316576	5.241992915	5.257563959	5.280007884	5.305777702	5.301616928
0.93	5.414221549	5.405332006	5.399179022	5.413823773	5.436098542	5.46285613	5.45991266
0.933	5.543551157	5.53450566	5.527696037	5.541678957	5.563711781	5.591327131	5.589388592
0.936	5.683149468	5.673995213	5.666683798	5.679957913	5.701720532	5.730016938	5.729321639
0.94	5.888206504	5.878834731	5.870627366	5.883083078	5.904574469	5.933778825	5.934518899
0.943	6.058629951	6.049141091	6.040245697	6.051907593	6.073129491	6.102991974	6.104900334
0.946	6.245873038	6.236188945	6.226478402	6.237307003	6.25820058	6.288855385	6.291914472
0.95	6.526121803	6.51630041	6.505614976	6.515421578	6.535608372	6.567000039	6.571923692
0.952	6.681545766	6.671636928	6.660413388	6.669494858	6.689333874	6.721043346	6.726909437
0.954	6.848312679	6.838308106	6.826597072	6.835000803	6.854365016	6.88643917	6.893054239
0.956	7.028552048	7.018437452	7.006244582	7.013940058	7.032923352	7.065002391	7.072640642
0.958	7.223846974	7.21374277	7.201146132	7.208262539	7.226987523	7.25939731	7.267744537
0.96	7.436718698	7.426548514	7.413422077	7.419800619	7.43808083	7.470693393	7.480054578
0.962	7.669319118	7.65913745	7.645688167	7.651368648	7.669180772	7.701926244	7.712255514
0.964	7.92456947	7.914363017	7.900520065	7.905552123	7.922955655	7.955635964	7.966867116
0.966	8.206154182	8.195823224	8.181389868	8.185714492	8.202568403	8.23529291	8.247540344
0.968	8.518036423	8.507645541	8.492616557	8.496113605	8.512449495	8.544911438	8.558056045
0.97	8.866517055	8.856064589	8.840250567	8.843160351	8.858973158	8.891573769	8.905684758
0.972	9.259037378	9.248683539	9.232511949	9.234490806	9.249447145	9.28214613	9.297021073
0.974	9.705049453	9.694707267	9.677911318	9.678917459	9.693085517	9.725367977	9.741106954
0.976	10.2197163	10.20934052	10.19210986	10.19217101	10.20569779	10.23746471	10.25409581
0.978	10.81911925	10.80873767	10.7910831	10.79019776	10.80297542	10.83423423	10.8516463
0.98	11.5248422	11.51439114	11.49638169	11.49471968	11.5069109	11.53765625	11.55595704
0.983	12.84666069	12.83628203	12.81764586	12.81443511	12.82503511	12.85447843	12.87343886
0.986	14.64691354	14.63657124	14.61716442	14.61315168	14.6217231	14.64949987	14.66928955
0.99	18.48108656	18.47091644	18.4504567	18.44466699	18.45076466	18.47565158	18.49497909
0.993	23.89170544	23.88193826	23.86147102	23.85476257	23.85914997	23.88071476	23.90014808
0.996	36.30197762	36.29308027	36.27255183	36.26376594	36.26663952	36.28238169	36.2987089
